UserName,ScreenName,Location,TweetAt,OriginalTweet,Sentiment
29903,74855,Colorado,1-4-2020,"Grocery shopping in the time of #coronavirus: Since we all have to stay home, bare shelves at the supermarket offer you an insight into what your neighbors might be cooking right now.



https://t.co/VX7xaLah4A via @ejimbo_com 

#COVID19Colorado 

#coloradocovid19",2
29904,74856,Libya,1-4-2020,"We done our part of fighting #Covid_19 by simply staying home, but  libyan gov didnt provide cash, lower prices, improve health care or anything else.",4
29905,74857,,1-4-2020,#coronavirus Boohoo are making us work in the warehouse even though some of us have underlying health conditions. Please boycott Boohoo!!! Remember this when you next think of doing online shopping. It isnt essential work. We need your help,3
29906,74858,caloocan,1-4-2020,Antiflu drug should be available for consumer use. This will effectively treat #Covid_19 cases better.#SocialDistancing is for  families living in houses bigger than ur bathroom. Please. How do you tell that to 3 families living in a room sized house? #LuzonLockdown  #Covid_19PH,4
29907,74859,Arlington VA USA,1-4-2020,Stay safe Stay strong We are separated but still together For anyone that needs this right now,3
29908,74860,??????,1-4-2020,"At the supermarket: especially not to do ...



#Covid_19  #COVID2019france  #coronavirusdeutschland 

#coronavirus  #coronavirusitalIa https://t.co/zEhDxeTisj",2
29909,74861,Provinces,1-4-2020,"I have NEVER SEEN so many men doing the food shop as today in supermarket. Has lockdown changed boring chore (ie womens work ) into Heroically Important Hunter Gathering/trip out? One guy was in full hunter-style camo, head to toe.",3
29910,74862,"Columbus native, SE Ohio now.",1-4-2020,"How to Know if Your Supermarket Is Full Before You Go 

#coronavirus #COVID19 

#MAGAVirus #DarwinsWaitingRoom

https://t.co/Ntse1GOhKb via @Radiodotcom",2
29911,74863,"Coimbatore, India",1-4-2020,"Tips for safer shopping



Ask your Coronavirus (COVID-19) Questions to our doctors online » https://t.co/L1tZS0mZlm



#Coronavirus #virus #covid19 #icliniq100hrs #life #shopping https://t.co/Y93auz3fLs",3
29912,74864,New Zealand,1-4-2020,"What will this mean for small producers and local food markets?A lot of this info was known before we went from farming to agribusinesses. Coronavirus: Food consumers will demand more digital traceability, post-Covid-19 https://t.co/FDKfSUVkht",1
29913,74865,,1-4-2020,@Sephora plans to keep majority of store employees. https://t.co/VPqL4OZ6HK #retail #coronavirus #Sephora https://t.co/RYyDPHJhUL,2
29914,74866,,1-4-2020,"#hoarding grandmothers everywhere rejoice while expired food prices skyrocket - labeled as ""pre-#coronavirus"" snacks",3
29915,74867,"Orlando, FL",1-4-2020,"UCSF and Scripps Research Translational Institute launch projects using mHealth to crowdsource data for Coronavirus research. #biostatistics #research #covid19 #coronavirus 



https://t.co/1m9XTtTdyP",2
29916,74868,,1-4-2020,Oil production and prices are low. @POTUS says the oil industry is being ravaged. He said he had a call with world leaders discussing the problem. they know what they have to do #coronavirus,1
29917,74869,??????????????,1-4-2020,Now officially announced that my store will be closed at least until April 30th. I am going to have to file unemployment #retail #sandiego #COVID?19 #coronavirus #California #unemployment,1
29918,74870,/austria/vienna;nova_gora,1-4-2020,.@emarsys in partnership with @gooddata is launching the Covid-19 Commerce Insight platform to provide information on how #coronavirus is affecting consumer spending in any industry and geography https://t.co/8ROJ1N0ZKl #ecommerce #retailinsights #covid19,2
29919,74871,Paris,1-4-2020,#COVID19 #Coronavirus may cause global food shortages as panic buying and export curbs hit supply.  https://t.co/BCSfGEcvYC,1
29920,74872,Canada,1-4-2020,"Salesfloor has an alternate option to furloughing employees that allows #retailers to keep selling online without paying wages, and associates to keep earning commission. We're waiving license fees during #COVID19 because #wereinthistogether. https://t.co/kjWMMZuWmh #retail",2
29921,74873,"Los Angeles, CA",1-4-2020,Packs going out at discount prices for the weekend stay home stay safe health is wealth  ,4
29922,74874,,1-4-2020,"https://t.co/odIFfyNQDA



show solidarity with dining hall workers at seattle university who are not receiving pay during this global crisis",1
29923,74875,,1-4-2020,Overproduction of Clorox wipes + Consumer high demand = Currently Unavailable at Amazon Shopping is Sad #coronavirus,1
29924,74876,,1-4-2020,I cant believe humans are this stupid https://t.co/brHOzl7ocN,0
29925,74877,"New York, USA",1-4-2020,Protect Yourself From #Coronavirus Grocery Shopping - Consumer Reports https://t.co/wKGGyajl3f,3
29926,74878,Most frequently in California,1-4-2020,Very interesting analysis of China consumer sentiment improving over time afer Covid-19 recovery begins.  #covid19 #coronavirus https://t.co/TeyxNGEkcd,4
29927,74879,Occupied Ohlone Land/ San Jose,1-4-2020,"Folks: we demand housing, food, COVID-19 treatment, and healthcare for everyone 

Libs: look buddy, were working hard on a bill where if you work 40+ hours/week and listen to your boss, youll have access to these privileges https://t.co/xJWz1nku0s",3
29928,74880,,2-4-2020,Is she spreading the Woman is touching almost everything in a big supermarket Why Now we have everywhere,2
29929,74881,"London, England",2-4-2020,Texas regulators will likely hold a meeting 14 Apr to discuss curtailing the state s output in an effort to help balance the market in the wake of the crash in crude prices and a drop in demand because of the pandemic,0
29930,74882,"London, England",2-4-2020,US President Trump says that Saudi Arabia and Russia will cut oil production by 10 million barrels per day and  maybe substantially more   as prices collapse due to a price war and the pandemic,0
29931,74883,"North Carolina, USA",2-4-2020,It would be wonderful if as you prepare your family and stock up folks could refrain from panic buying and hoarding extras This goes a long way to ensure there is enough food for everyone,3
29932,74884,"London, England",2-4-2020,Retailers hiked the price of cough and cold medicines by 10 7 last week according to a snapshot analysis of the impact of on the economy,2
29933,74885,"De Queen, AR",2-4-2020,Gov If I entered the  stay at home order  more than 700k Arkansans would go to work and countless numbers would go to the grocery store Let me assure you if we need to do more we will 19,3
29934,74886,Mn,2-4-2020,'Government Needs to Step In': Food Banks Across US Report Unprecedented Demandand Shortagesas #Coronavirus Pandemic Ravages!  - https://t.co/kqrC55MWYF via @commondreams,1
29935,74887,"England, United Kingdom",2-4-2020, Has put your perfect plans on pause   You might be able to rearrange for a new date   Speak to all of the services you ve booked to check what they can do   If you ve got insurance check the T amp Cs to see what s covered,3
29936,74888,Chicago / Northbrook,2-4-2020,"This is from a friend in Colorado. 



Fuck you if youre being anything other than kind and polite to grocery store staff right now. 



#Coronavirus

#Covid_19 https://t.co/8i97h7Bzyn",3
29937,74889,"of London, thinking HUB ",2-4-2020,Good insight into how the pandemic is currently affecting UK food supply chains and how producers processors and retailers are having to respond quickly to unprecedented changes in consumer demands,3
29938,74890,"Las Vegas, NV",2-4-2020,Gas prices have dropped to their lowest point in recent years,1
29939,74891,"England, United Kingdom",2-4-2020,The Manchester online shopping giant The Hut Group is donating  10m to help fight Covid 19 The retailer specialises in beauty products but it s now making hand sanitisers and donating them to the NHS The firm is recruiting 500 more people to help increase production,4
29940,74892,"alexandria, egypt",2-4-2020,Moscow relies on its energy exports Low oil prices are making it nervous  No one needs oil now   writes one Russian paper today  after all it doesn t cure people of   Another warns  The commodity market faces collapse  ,0
29941,74893,San Diego,2-4-2020,News Alert Chairwoman calls on drug companies not to increase prices for treatments,3
29942,74894,San Diego,2-4-2020,Man I am confused Yesterday at the briefing Trump was saying lower gas prices was a  tax cut for Americans in a way   So why is he thrilled to be manipulating the price of oil,0
29943,74895,,2-4-2020,Sorry millennials A   induced recession won t help you buy a house The 2008 recession yielded housing bargains in subsequent years but that probably won t be the case for the next one,4
29944,74896,Under my sleeping cats,2-4-2020,New York s Food Pantries Face An  Unprecedented And Extreme Uptick In Need ,2
29945,74897,Australia,2-4-2020,Mexican drug cartels struggle during hike prices as lab supplies from dry up Poor Bastards Why isn t reporting this injustice  ,0
29946,74898,New York,2-4-2020,"Helping our clients with new demand challenges, we have released our #COVID?19 Impact Dashboard in partnership with #Exabelproviding daily updates on U.S. consumer spending patterns across multiple #retail sectors. Complimentary access: https://t.co/lJnNKFoNY9



#coronavirus https://t.co/zAYJ1yQWJJ",3
29947,74899,,2-4-2020,"So you're saying we finally have gasoline prices down to 99 cents again but we can't go no where?



#TakeYourselfHome #coronavirus",1
29948,74900,"Las Vegas, NV",2-4-2020,Contributing to the problem of empty grocery store shelves across the country is  panic shopping  but the coronavirus pandemic could also have a very real impact on the nation s food supply chain,1
29949,74901,NC Triangle Region,2-4-2020,We re seeing people from every socio economic level because the majority of Americans live paycheck to paycheck,2
29950,74902,"New York, NY",2-4-2020,Many retailers in Union Square are stepping up and pledging to continue paying their employees despite closures and shut downs related to the crisis Check out these USQ retailers and support by shopping online,1
29951,74903,,2-4-2020,"Trump: I have great news!



US: #coronavirus vaccine?



Trump: No. Higher oil prices.",3
29952,74904,News & Bible verses USA,2-4-2020,"Coronavirus: from China to the US, consumer behaviour radically altered as world retreats into survival mode



#coronavirus #pandemic #wakethebride #coronavirususa #covid19

#CoronavirusOutbreak  https://t.co/iGVLshhByu",2
29953,74905,Updating You On Everything,2-4-2020,"Young Chop Presses Crip About Pop Smoke At Supermarket Almost Arrested

https://t.co/Wf10IAKPxU #rap #hiphop #viral #trending #worldstar #covid_19 #coronavirus #chicago #chiraq #atlanta #newyork #drake #trav #50cent #queenzflip",1
29954,74906,"Queensland, Australia",2-4-2020,"In the past few weeks, trade in supermarkets and fruit and vegetable shops has doubled. The increase in demand has seen an increase in prices, but this could soon change. https://t.co/VZ3A1cpmr5 @GeorgiaTerry_7 #coronavirus #7NEWS https://t.co/R7W1UvOfBb",3
29955,74907,,2-4-2020,We often rightly hear about the great work that doctors and nurses are doing re 19 Let s not forget everyone else from pharmacists and hospital cleaners to supermarket staff laboratory teams and many others working around the clock to keep the rest of us safe,4
29956,74908,new york,2-4-2020,New York s Food Pantries Face An  Unprecedented And Extreme Uptick In Need  via,2
29957,74909,"Cleveland, Ohio, USA",2-4-2020,Here s a first person account of what it s like to work in a during,3
29958,74910,Mumbai,2-4-2020,Lesson Learned in past few days : Human beings are opportunistic and despicable no matter their socioeconomic position when prices are rising. #COVID19Pandemic #COVID2019,1
29959,74911,"Nashville, TN",2-4-2020,ICYMI Lowe s closes Harper Woods store to customers after employee dies of via,3
29960,74912,?? ,2-4-2020,I would like to dedicate this song to all those people in the Supermarket who think leaning over your shoulder for a tin of beans is more important than Social Distancing xx,3
29961,74913,https://gab.ai/Ducktape,2-4-2020,Corona shows that our modern economic and political systems must change Our drug development system should promote innovation not parasitic corporate monopolies resulting in high prices Commoning as a Pandemic Survival Strategy,4
29962,74914,"North West, England",2-4-2020,Manchester online shopping giant The Hut Group is donating  10 million to help fight Covid 19 The retailer specialises in beauty products but it s now making hand sanitisers and donating them to the NHS The firm is recruiting 500 more people to help increase production,4
29963,74915,Trinidad &Tobago,2-4-2020,Supermarket Association of Trinidad and Tobago URGENT ADVISORY 2020 19,3
29964,74916,"Leicester, England",2-4-2020,Can we jail business owners for profiteering from  Cough and cold medicine prices hiked by 10 7  ,1
29965,74917,Through the Looking Glass @ th,2-4-2020,"Pennsylvania allowed limited sale of wine &amp; spirits via online shopping only...



The website is down b/c of volume.



duh... ?



&amp; Politicians get the bunkers. ?

#CovdHouseArrest #HouseArrestNotQuarantine #coronavirus #COVID?19 #CorinaHysteria #CoronaHoax https://t.co/cfuXHnc0WF",1
29966,74918,Republic of South Yorkshire.,2-4-2020,GT Wales provide food parcels to households in crisis during this Covid 19 Pandemic every Wednesday If you are in crisis and need a food parcel please call us on 02920 214411 and we can arrange a food parcel to be dropped Due to the demand we have a cut off point of Tuesday PM,0
29967,74919,,2-4-2020,Dubai Economy fines 8 pharmacies and two pharmaceutical companies for manipulating prices of face masks amid the crisis against Corona,0
29968,74920,California was Mexico for over 2 centuries.,2-4-2020,"#coronavirus



Life is beautiful. Contrastingly, much of our economy is non-essential, as reflected in widespread Shelter in Place orders , and manifest in consumer usage industry downturn trends.",3
29969,74921,"??? Washington, DC",2-4-2020,If that is the case perhaps it is worth flagging medical community had posted instructions amp cute video for lab tested DIY masks to ease panic amp shortage DIY Mask in 8 Steps on 80 90 efficacy,3
29970,74922,"Paris, Monaco, Milan, Bucarest",2-4-2020,If today s oil prices in US and prevail North American oil production will decline by more than 2 3 mb d by the end of November,2
29971,74923,??,2-4-2020,"@realDonaldTrump Maybe if someone you know like John Barron were to get the #coronavirus you won't be talking about your TV ratings, oil prices or rolling back EPA guidelines. You should be focused on testing, PPE and ventilators.",4
29972,74924,"Melbourne, Australia",2-4-2020,Compulsory use of masks in Austria #Covid 19 Distribution of masks to take place from Wednesday onwards via supermarket chains From this time on it is obligatory to wear masks in supermarkets Medium term mouth amp nose protection will be obligatory wherever people pass by,2
29973,74925,?? Copenhagen,2-4-2020,Great to wake up to this article in the Express about the work that is doing Fuel our frontline Britons fundraise vital food packages for our NHS coronavirus heroes Please do continue to fund us,4
29974,74926,New Delhi,2-4-2020,prices may come down by 10 20 across geographies while land prices could see an even higher reduction of 30 said Pankaj Kapoor chief executive of consultancy firm Liases Foras,2
29975,74927,"Ottawa, Ontario",2-4-2020,Lets hope this is true for we Canadians! Food is a critical necessity and yes we need toilet paper which is either out of stock or in short supply for many stores. So I hope that store shelves are replenished and soon! https://t.co/HcXJlbZXXx,4
29976,74928,,2-4-2020,"Once the containment is over and we all go back to our normal lives, all the prices will go up by a lot of power

#COVID?19 #coronavirus #COVID",2
29977,74929,Kingdom of Saudi Arabia,2-4-2020,Top quality face mask At whole sale prices,3
29978,74930,"Edinburgh, Scotland",2-4-2020,"6. Stick to ration limits

7. Don't touch things you're not buying

8. Try to avoid touchscreens

9. Don't park next to others

10. Consider shop workers

 supermarket employees are working in a highly stressful environment right now.

#coronavirus https://t.co/EP5lJ48hpA",0
29979,74931,,2-4-2020,93 What is even worse is the fact that the essential workers that are still delivering the food and products aren t tested for the So it is literally insane It is a dog chasing its own tail The Doctors and Hospitals are essential Stock up and stay inside,0
29980,74932,,2-4-2020,What is even worse is the fact that the essential workers that are still delivering food and products aren t tested for the So it is literally insane It is a dog chasing its own tail The Doctors and Hospitals are essential Stock up and stay inside,0
29981,74933,,2-4-2020,There are several lessons to be learned from the Table Will lower oil prices make a dent in historical trends,1
29982,74934,Hell,2-4-2020,"#coronavirus Have to work, forced to work at a supposed ""essential"" retail auto parts store. Forced to be exposed.. #catch22 Pay rent/be safe.. unfair choice==no choice.. Wish me luck ?",1
29983,74935,,2-4-2020,The Pakistan Bureau of Statistics PBS on Wednesday said the inflation rate fell to 10 2 per cent in March from 12 4pc in the previous month owing to decline in prices of essential food items for a second consecutive month,2
29984,74936,???????,2-4-2020,helps everyone but who are the first one should care about during But for his own image matters more Of course he wants to show up  whiter than snow  in a desperate attempt to lift amid dramatic decrease of oil prices,3
29985,74937,INA,2-4-2020,As the hit Italy people are panic buying food supplies Pasta is among the most sought after commodities It makes Italian pasta factories scrambling to increase production to keep up with orders a pretty good job  ,4
29986,74938,York,2-4-2020,"So I know @Tesco are limiting everyone to 3 of each item for their online shopping, but to be given 3 mushrooms?! ? What am I gonna do with that? #COVID?19 #coronavirus #CoronaCrisisuk",2
29987,74939,Taking photos at a track near you!,2-4-2020,"As hospitals dont have visitors at the moment, how about their gift shops get turned into supermarket express stores? The closest @Tesco @Morrisons @asda @sainsburys to each hospital restock it every 4h &amp; its ONLY for our hardworking @NHSuk staff

??

#NHS #coronavirus #COVID19",3
29988,74940,#ToryDystopia?#GTTO#JC4Ever?,2-4-2020,I ve been alerted by constituents to possible price gouging by a few traders in Edmonton I ve written to the Council and police asking them to look into it and I urge all local traders to keep their prices fair at this difficult time 19,1
29989,74941,"??????, ??????? ??????? ????????",2-4-2020,coronavirus death toll rises to 2 921 up 24 in a day 49 new cases in After death of a cashier French supermarket staff work in fear Reports 1128 Cases 54 Deaths from COVID 19,0
29990,74942,Kampala,2-4-2020,Is your favorite supermarket taking all these  necessary precautions to keep you and its employees safe We all need to step up and follow the guidelines set by the in order to flatten the curve and beat,4
29991,74943,DS9,2-4-2020,BREAKING closes Harper Woods store to customers after employee dies of,2
29992,74944,,2-4-2020,#GasolinePrice has fallen in the last couple weeks cos demand declined as people stay home to avoid spreading the #CoronaVirus;then prices dropped further and supply spiked because of a #price_war between Saudi Arabia and Russia ;todays #NY_Gas_Price_PerGallon is unbelievable! https://t.co/OQGjchdQ7f,0
29993,74945,United Provinces of Tibet,2-4-2020,very nice of you not to ask compensation from for causing the SARS virus caused by their overdirty food markets BUT HOW ABOUT this   Demand  ,2
29994,74946,Jamaica,2-4-2020,"For about a year I have been toying with the idea of an online shopping service that delivers your groceries at your doorstep. Lookie here now, Ive seen over 10 new ones since COVID-19. 



Act on your dreams or someone else will.",3
29995,74947,London England UK,2-4-2020,At first I thought the fact that Corona beer was being left on shelves was the funniest thing so far about the Then I thought it was a classic indicator of how dumb people are Now I m thinking Can I get my hands on some at reduced prices,3
29996,74948,Masshole,2-4-2020,"Spike in demand at food banks across country amid COVID-19 outbreak



https://t.co/IH94kTKAMT",1
29997,74949,The Kitchen As Always. ,2-4-2020,"Dear Grocery Industries,



STOP clogging up our emails daily w/ COVID-19 junk regarding changes to help customers when you dont even offer delivery/curbside pickup  in all areas!



Signed,



A Concerned Consumer 

#COVID19 #grocerystores #pandemic #coronavirus #groceryshopping",3
29998,74950,,2-4-2020,The outlook for the EMEA unregulated amp utilities sector has changed to stable from positive in 2020 as the outbreak drives down power prices and electricity demand Moody s reports,3
29999,74951,,2-4-2020,Pay close attention to corporations during and note which ones lay off workers raise prices or ask for unwarranted bailouts The near 30 000 before taxes cut and non financial corporations had 4 trillion cash reserves,1
30000,74952,"Iowa, USA",2-4-2020,"Hey! Im Caesi and these are my commission prices! 

COVID-19 has reduced the hours at my job to only three a week so I thought I could open up for commissions!

Please DM me with questions or if interested!

???? https://t.co/NePphwlw0q",4
30001,74953,"Texas, USA",2-4-2020,"Well, I began my 2nd job today, in earnest (sp?).

Not the best money maker, $10-$15/hr, lots of thank yous, low tips, but it's guaranteed money based on how much or little you work.

Hopefully I don't catch the virus while I'm ensuring ppl get their food while staying at home.",4
30002,74954,,2-4-2020,"@natselrox @sohinichat @PMOIndia The farming is the supply to the  demand part (the eating). 

I'm a raging vegan so feel free to ignore me. It's just not ""fake news"".



He's trying to impose his food choices on others which I don't approve of but he'",1
30003,74955,Boon Warrung,2-4-2020,Forget articles on  chic home wear   Here is your look Perfect for park walks amp supermarket aisles,3
30004,74956,Sharpening Things.,2-4-2020,In coordination with the supermarket chain Meridian Corporate and donated 8 500 foodstuffs to shelters in Kosovo for victims of gender based violence amid the pandemic Our live blog brings you the latest in the region,0
30005,74957,,2-4-2020,ramsey I want to know whose bottom line is being beefed up so can make their future consumer decisions based on,3
30006,74958,Aamchi Mumbai,2-4-2020,#coronavirus ke saath prices bhi bad gayi grocery ki...Seriously baniyawaalas are looting people like anything,1
30007,74959,"Torbay, England",2-4-2020,  A second has been planed for tonight at 8pm to honour key workers on the frontline of the outbreak Find out more here  ,3
30008,74960,Norfolk ,2-4-2020,"Now we look up to, more than ever - Nurses, doctors, Care workers, Police, postmen, binmen, supermarket workers, garage workers, takeaway workers. Not a millionaire, a celebrity, a sportsman/woman in sight. I hope we never forget how important these people are. #coronavirus",4
30009,74961,"Fort Lauderdale, FL, Costa Rica",2-4-2020,"Due to COVID-19, a hygienic company is now dealing with a 10x influx of orders for hand sanitizer.



Read the full case study here to see how @UiPath's #RPA software is helping companies during #coronavirus:



https://t.co/USM1av7ZUy https://t.co/FOi5WSwHP1",4
30010,74962,,2-4-2020,Regarding SNAP said the entitlement program was far more economically efficient than soup kitchens and food pantries and analysts have pointed out that the food program provides important counter cyclical help in recessions,4
30011,74963,"Orlando, FL",2-4-2020,The Edgewater Drive gas station and repair shop has had to furlough three of its 10 workers Meanwhile gas could fall below 1 60 in in part because of,2
